latitude, longitude, name, train_line
55.8404293,12.4235411,A,"S-tog A: Hillerød => Solrød Strand"
55.7306206,12.567231,C,"S-tog C: Frederikssund => Klampenborg"
55.7155245,12.559604,F,"S-tog F: København Syd => Hellerup"
55.6545324,11.5021901,n/a,"Regionaltog 56: Kalundborg => København"
55.6775075,11.6126428,n/a,"Regionaltog 56: Kalundborg => København"
55.7517552,12.5723836,C,"S-tog C: Frederikssund => Klampenborg"
55.762875,12.5836848,C,"S-tog C: Frederikssund => Klampenborg"
55.7517759,12.5723267,C,"S-tog C: Klampenborg => Frederikssund"
55.3571835,11.1347068,n/a,"InterCity 4: København Østerport => Esbjerg"
55.648901,12.2685799,Bx,"S-tog Bx: Høje Taastrup => Buddinge"
55.6631448,12.3987436,Bx,"S-tog Bx: Buddinge => Høje Taastrup"
55.886645,12.2022776,n/a,"Lokaltog 920R: Hundested => Hillerød"
55.9231525,12.0733485,n/a,"Lokaltog 920R: Hillerød => Hundested"
55.9768654,11.9135913,n/a,"Lokaltog 920R: Hillerød => Hundested"
55.4378585,11.7861218,n/a,"Regionaltog 54: Rødby Færge => Køge Nord => København"
55.4379742,11.786109,n/a,"Regionaltog 54: Rødby Færge => Roskilde => København"
55.4380123,11.7861039,n/a,"Regionaltog 54: København => Roskilde => Rødby Færge"
55.4381642,11.7860865,n/a,"InterCity 4: København Østerport => Esbjerg"
55.4075635,11.3485457,n/a,"InterCity 4: København Østerport => Esbjerg"
55.4076008,11.3485366,n/a,"Regionaltog 50: CPH Lufthavn => København S => Høje Taastrup => Slagelse"
55.3523955,11.69645,n/a,"Regionaltog 54: København => Roskilde => Rødby Færge"
55.1102802,11.8693725,n/a,"Regionaltog 54: København => Roskilde => Rødby Færge"
55.110332,11.8695864,n/a,"Regionaltog 54: Rødby Færge => Roskilde => København"
55.0117861,11.8993175,n/a,"Regionaltog 54: Rødby Færge => Roskilde => København"
55.8790632,12.8574026,n/a,"Train 100: Gothenburg => Malmö => Copenhagen"
55.7155828,11.7080938,n/a,"Regionaltog 56: København => Kalundborg"
54.8560684,11.8853061,n/a,"Regionaltog 54: København => Roskilde => Rødby Færge"
55.9443941,9.130407,n/a,"InterCityLyn 3: Struer => Herning => København"
55.6234161,12.386774,A,"S-tog A: Hillerød => Solrød Strand"
55.6096562,13.0008885,n/a,"Train 95: Helsingør => København => Malmö => Kalmar"
55.6097473,13.0008325,n/a,"Tog 80: København => Stockholm"
55.6099276,13.0007471,n/a,"Tåg 80: Stockholm => København"
55.5626058,12.9759926,n/a,"Train 95: Helsingør => København => Malmö => Kalmar"
55.5628793,12.975702,n/a,"Train 95: Kalmar => Malmö => København => Helsingør"
55.9370965,13.5420598,n/a,"Train 95: Kalmar => Malmö => København => Helsingør"
56.8988542,14.5572289,n/a,"Tåg 80: Stockholm => København"
56.6691802,12.8646569,n/a,"Train 100: Gothenburg => Malmö => Copenhagen"
57.6559029,12.018634,n/a,"Train 100: Copenhagen => Malmö => Gothenburg"
55.6838245,12.5728159,n/a,"Regionaltog 40: CPH Lufthavn => Nivå"
56.2457634,12.8536654,n/a,"Train 100: Copenhagen => Malmö => Gothenburg"
56.4304086,12.9040466,n/a,"Train 100: Gothenburg => Malmö => Copenhagen"
56.430524,12.9038775,n/a,"Train 100: Copenhagen => Malmö => Gothenburg"
56.5022282,12.998906,n/a,"Train 100: Copenhagen => Malmö => Gothenburg"
56.9194665,12.508283,n/a,"Train 100: Copenhagen => Malmö => Gothenburg"
56.9196075,12.5083103,n/a,"Train 100: Gothenburg => Malmö => Copenhagen"
55.401735,10.386209,n/a,"InterCityLyn 3: Struer => Herning => København"
55.6833936,12.5718349,A,"S-tog A: Solrød Strand => Hillerød"
56.5021828,12.9991479,n/a,"Train 100: Gothenburg => Malmö => Copenhagen"
58.4161788,15.6261145,n/a,"Tåg 80: Stockholm => København"
55.9230886,12.0733843,n/a,"Lokaltog 920R: Hundested => Hillerød"
55.6524185,12.3021144,Bx,"S-tog Bx: Høje Taastrup => Buddinge"
55.652552,12.3020737,Bx,"S-tog Bx: Buddinge => Høje Taastrup"
55.7617923,12.5212819,A,"S-tog A: Køge => Hillerød"
55.6384988,12.0878325,n/a,"InterCity 4: København Østerport => Esbjerg"
55.6636764,12.513538,n/a,"InterCity 4: København Østerport => Esbjerg"
56.661187,16.3610911,n/a,"Train 95: Helsingør => København => Malmö => Kalmar"
56.5509985,14.1369528,n/a,"Train 95: Kalmar => Malmö => København => Helsingør"
58.3228288,15.132092,n/a,"Tog 80: København => Stockholm"
58.5966177,16.1817125,n/a,"Tog 80: København => Stockholm"
56.898819,14.5573686,n/a,"Train 95: Kalmar => Malmö => København => Helsingør"
56.8998673,14.558348,n/a,"Train 95: Helsingør => København => Malmö => Kalmar"
56.3810632,13.9955291,n/a,"Train 95: Kalmar => Malmö => København => Helsingør"
56.1585721,13.7638828,n/a,"Train 90: Karlskrona => Malmö => København"
55.776825,12.5887351,n/a,"Regionaltog 40: CPH Lufthavn => Nivå"
55.7305611,12.566591,A,"S-tog A: Hillerød => Solrød Strand"
55.7305769,12.5667609,C,"S-tog C: Klampenborg => Frederikssund"
55.7306142,12.5671621,A,"S-tog A: Solrød Strand => Hillerød"
55.7306362,12.5673987,n/a,"Regionaltog 40: Nivå => CPH Lufthavn"
55.7306423,12.5674645,n/a,"Regionaltog 40: CPH Lufthavn => Nivå"
55.6726166,12.5658525,n/a,"Regionaltog 40: CPH Lufthavn => Nivå"
55.9333888,12.506417,n/a,"Regionaltog 40: CPH Lufthavn => Nivå"
55.6931253,12.588795,n/a,"InterCity 4: Esbjerg => København Østerport"
